gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
pepN,pepN,aminopeptidase N,,NC_000913.3:990621-993234,16128899,(METABOLISM) [E] Amino acid transport and metabolism,[COG0308] Aminopeptidase N,947253,NP_415452.1,870,aminopeptidase N,102.528,92.6027,86.1623,119.313,122.347
pepP,pepP,proline aminopeptidase P II,,NC_000913.3:3052339-3054840,16130810,(METABOLISM) [E] Amino acid transport and metabolism,[COG0006] Xaa-Pro aminopeptidase,947385,NP_417384.1,441,proline aminopeptidase P II,141.957,147.741,137.328,141.165,129.667
pepQ,pepQ,proline dipeptidase,,NC_000913.3:4031160-4033106,16131693,(METABOLISM) [E] Amino acid transport and metabolism,[COG0006] Xaa-Pro aminopeptidase,948335,NP_418289.1,443,proline dipeptidase,71.5239,66.9358,71.5928,117.411,116.012
pepT,pepT,peptidase T,putative peptidase T,NC_000913.3:1185843-1187070,16129090,(METABOLISM) [E] Amino acid transport and metabolism,[COG2195] Di- or tripeptidase,946333,NP_415645.1,408,peptidase T,66.4806,51.7742,44.3472,57.5113,49.4229
perR,perR,CP4-6 prophage%3B putative DNA-binding transcriptional regulator,peroxide resistance protein,NC_000913.3:269288-270182,16128239,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",945417,NP_414788.1,297,CP4-6 prophage; putative DNA-binding transcriptional regulator,1.76023,3.32515,4.46109,1.80718,2.34214
pfkA,pfkA,6-phosphofructokinase I,,NC_000913.3:4107551-4108514,16131754,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0205] 6-phosphofructokinase,948412,NP_418351.1,320,6-phosphofructokinase I,57.0684,59.3631,51.5523,148.315,235.201
pfkB,pfkB,6-phosphofructokinase II,6-phosphofructokinase II%3B suppressor of pfkA,NC_000913.3:1806369-1807299,49176138,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG1105] Fructose-1-phosphate kinase or kinase (PfkB),946230,NP_416237.3,309,6-phosphofructokinase II,43.3281,41.1375,49.2691,52.9638,53.0606
pflA,pflA,pyruvate formate-lyase 1-activating enzyme%3B [formate-C-acetyltransferase 1]-activating enzyme%3B PFL activase,,NC_000913.3:950339-951080,16128869,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG1180] Pyruvate-formate lyase-activating enzyme,945517,NP_415422.1,246,pyruvate formate-lyase 1-activating enzyme;,80.8962,89.1233,71.47,41.1335,42.8613
pflB,pflB,formate C-acetyltransferase 1%2C anaerobic%3B pyruvate formate-lyase 1,formate acetyltransferase 1,NC_000913.3:951271-953554,16128870,(METABOLISM) [C] Energy production and conversion,[COG1882] Pyruvate-formate lyase,945514,NP_415423.1,760,"formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1",611.236,687.453,409.159,0.0,0.0
pflC,pflC,putative [formate-C-acetyltransferase 2]-activating enzyme%3B pyruvate formate-lyase 1-activating enzyme,probable pyruvate formate lyase activating enzyme 2,NC_000913.3:4143994-4147136,49176447,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG1180] Pyruvate-formate lyase-activating enzyme,948453,NP_418387.3,292,putative,1.95334,1.73339,3.03638,3.4594,2.83442
pflD,pflD,putative glycine radical domain-containing pyruvate formate-lyase,formate acetyltransferase 2,NC_000913.3:4143994-4147136,16131789,(METABOLISM) [C] Energy production and conversion,[COG1882] Pyruvate-formate lyase,948454,NP_418386.1,765,putative glycine radical domain-containing pyruvate formate-lyase,1.91407,1.43251,2.21588,2.3986,2.77979
pfo,pfo,pyruvate-flavodoxin oxidoreductase,putative oxidoreductase%2C Fe-S subunit,NC_000913.3:1437259-1440784,16129339,(METABOLISM) [C] Energy production and conversion,[COG1143] Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I),946587,NP_415896.1,1174,pyruvate-flavodoxin oxidoreductase,8.84262,8.93137,13.5578,21.2527,22.1416
pgaA,pgaA,biofilm adhesin polysaccharide PGA secretin%3B OM porin%3B poly-beta-1%2C6-N-acetyl-D-glucosamine export protein,putative outer membrane protein,NC_000913.3:1089865-1092289,16128988,(POORLY CHARACTERIZED) [R] General function prediction only,[COG0457] Tetratricopeptide (TPR) repeat,945596,NP_415543.1,807,"biofilm adhesin polysaccharide PGA secretin; OM porin; poly-beta-1,6-N-acetyl-D-glucosamine export protein",3.93674,3.96661,5.90956,4.6395,4.579
pgaB,pgaB,poly-beta-1%2C6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein,,NC_000913.3:1086520-1089857,16128987,(POORLY CHARACTERIZED) [S] Function unknown,"[COG1649] Uncharacterized lipoprotein YddW, UPF0748 family",945604,NP_415542.1,672,"poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein",1.65881,1.53585,2.82458,3.02609,3.16471
pgaC,pgaC,biofilm PGA synthase PgaCD%2C catalytic subunit%3B poly-beta-1%2C6-N-acetyl-D-glucosamine synthase,,NC_000913.3:1086520-1089857,16128986,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility,"[COG1215] Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",945606,NP_415541.1,441,"biofilm PGA synthase PgaCD, catalytic subunit; poly-beta-1,6-N-acetyl-D-glucosamine synthase",1.29926,1.60297,3.40845,3.33741,4.02488
pgaD,pgaD,biofilm PGA synthase PgaCD%2C regulatory subunit%3B c-di-GMP-stimulated activity and dimerization,,NC_000913.3:1086105-1086519,-,-,-,-,-,-,-,8.67129,7.56822,5.34687,8.20882,7.66855
pgi,pgi,glucosephosphate isomerase,,NC_000913.3:4233757-4235407,16131851,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0166] Glucose-6-phosphate isomerase,948535,NP_418449.1,549,glucosephosphate isomerase,141.341,142.643,112.174,252.823,270.433
pgk,pgk,phosphoglycerate kinase,,NC_000913.3:3071458-3072622,16130827,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0126] 3-phosphoglycerate kinase,947414,NP_417401.1,387,phosphoglycerate kinase,233.788,215.288,295.799,523.106,583.092
pgl,pgl,6-phosphogluconolactonase,putative isomerase,NC_000913.3:798585-799581,16128735,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG2706] 6-phosphogluconolactonase, cycloisomerase 2 family",946398,NP_415288.1,331,6-phosphogluconolactonase,18.2698,19.3168,19.8038,40.6413,49.0603
pgm,pgm,phosphoglucomutase,,NC_000913.3:713557-715198,16128664,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0033] Phosphoglucomutase,945271,NP_415214.1,546,phosphoglucomutase,57.6381,65.4455,44.5113,89.6862,94.116
pgpA,pgpA,phosphatidylglycerophosphatase A,phosphatidylglycerophosphatase,NC_000913.3:435633-437107,16128403,(METABOLISM) [I] Lipid transport and metabolism,[COG1267] Phosphatidylglycerophosphatase A,947542,NP_414952.1,172,phosphatidylglycerophosphatase A,99.5285,102.467,89.4619,74.399,65.4649
pgpB,pgpB,phosphatidylglycerophosphatase B,non-essential phosphatidylglycerophosphate phosphatase%2C membrane bound,NC_000913.3:1339329-1340094,16129239,(METABOLISM) [I] Lipid transport and metabolism,[COG0671] Membrane-associated phospholipid phosphatase,945863,NP_415794.1,254,phosphatidylglycerophosphatase B,32.7052,32.792,29.7423,22.2158,18.0378
pgpC,pgpC,phosphatidylglycerophosphatase C%2C membrane bound,,NC_000913.3:2697914-2698550,90111459,(METABOLISM) [E] Amino acid transport and metabolism,[COG0560] Phosphoserine phosphatase,947026,NP_417055.4,211,"phosphatidylglycerophosphatase C, membrane bound",68.4464,68.2042,34.0714,36.1218,32.1568
pgrR,pgrR,murein peptide degradation regulator,putative transcriptional regulator LYSR-type,NC_000913.3:1391990-1392890,16129289,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",945930,NP_415844.1,299,murein peptide degradation regulator,7.21139,6.24548,5.89968,4.03306,3.35537
pgsA,pgsA,phosphatidylglycerophosphate synthetase,phosphatidylglycerophosphate synthetase %3D CDP-1%2C2-diacyl-sn-glycero-3-phosphate phosphatidyl transferase,NC_000913.3:1992268-1992817,16129859,(METABOLISM) [I] Lipid transport and metabolism,[COG0558] Phosphatidylglycerophosphate synthase,945791,NP_416422.1,182,phosphatidylglycerophosphate synthetase,69.6534,70.1176,46.5571,39.3365,36.0242
pheA,pheA,chorismate mutase and prephenate dehydratase%2C P-protein,chorismate mutase-P and prephenate dehydratase,NC_000913.3:2737744-2738905,16130520,(METABOLISM) [E] Amino acid transport and metabolism,[COG1605] Chorismate mutase,947081,NP_417090.1,386,"chorismate mutase and prephenate dehydratase, P-protein",28.8767,30.4474,53.8153,36.9864,31.9668
pheL,pheL,pheA gene leader peptide,leader peptide of chorismate mutase-P-prephenate dehydratase,NC_000913.3:2737598-2737646,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
pheM,pheM,phenylalanyl-tRNA synthetase operon leader peptide,phenylalanyl-tRNA synthetase (pheST) operon leader peptide,NC_000913.3:1799225-1799270,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
pheP,pheP,phenylalanine transporter,phenylalanine-specific transport system,NC_000913.3:601958-603335,16128559,(METABOLISM) [E] Amino acid transport and metabolism,[COG1113] L-asparagine transporter and related permeases,945199,NP_415108.1,458,phenylalanine transporter,6.59238,8.02016,6.26715,4.76187,6.25156
pheS,pheS,phenylalanine tRNA synthetase%2C alpha subunit,phenylalanine tRNA synthetase%2C alpha-subunit,NC_000913.3:1797958-1798942,16129670,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0016] Phenylalanyl-tRNA synthetase alpha subunit,946223,NP_416229.1,327,"phenylalanine tRNA synthetase, alpha subunit",53.2928,60.2441,47.2738,68.1886,63.2111
pheT,pheT,phenylalanine tRNA synthetase%2C beta subunit,phenylalanine tRNA synthetase%2C beta-subunit,NC_000913.3:1795556-1797944,16129669,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0073] tRNA-binding EMAP/Myf domain,945382,NP_416228.1,795,"phenylalanine tRNA synthetase, beta subunit",76.3099,74.3935,78.1823,121.502,110.259
pheU,pheU,,anticodon: GAA,NC_000913.3:4362550-4362626,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
pheV,pheV,,anticodon: GAA,NC_000913.3:3110365-3110441,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
phnC,phnC,phosphonate ABC transporter ATPase,ATP-binding component of phosphonate transport%3B ATP-binding component of ABC superfamily,NC_000913.3:4324376-4325165,16131932,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG3638] ABC-type phosphate/phosphonate transport system, ATPase component",948623,NP_418530.1,262,phosphonate ABC transporter ATPase,0.357417,0.165131,1.02149,1.31881,1.11549
phnD,phnD,phosphonate ABC transporter periplasmic binding protein,periplasmic binding protein component of Pn transporter%3B periplasmic binding component of ABC superfamily,NC_000913.3:4323335-4324352,16131931,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG3221] ABC-type phosphate/phosphonate transport system, periplasmic component",948624,NP_418529.1,338,phosphonate ABC transporter periplasmic binding protein,0.196554,0.424124,1.64716,1.7404,2.22545
phnE,phnE,,defective phosphonate ABC transporter permease%3Btransport%3B Transport of small molecules: Anions~membrane channel protein component of Pn transporter%3B membrane component of ABC superfamily,NC_000913.3:4322442-4323230,-,-,-,-,-,-,-,0.536983,0.248091,2.66012,2.77392,2.03144
phnF,phnF,putative DNA-binding transcriptional regulator of phosphonate uptake and biodegradation,putative transcriptional regulator,NC_000913.3:4321696-4322422,16131928,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG2188] DNA-binding transcriptional regulator, GntR family",948617,NP_418526.1,241,putative DNA-binding transcriptional regulator of phosphonate uptake and biodegradation,0.198681,0.642335,0.6815,1.17302,1.80566
phnG,phnG,ribophosphonate triphosphate synthase subunit,phosphonate metabolism,NC_000913.3:4318005-4321696,16131927,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3624] Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,948618,NP_418525.1,150,ribophosphonate triphosphate synthase subunit,0.577762,0.177344,0.881899,0.284379,1.32473
phnH,phnH,ribophosphonate triphosphate synthase subunit,phosphonate metabolism,NC_000913.3:4318005-4321696,16131926,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3625] Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH,948619,NP_418524.1,194,ribophosphonate triphosphate synthase subunit,0.397433,0.488937,0.757742,0.586706,0.603974
phnI,phnI,ribophosphonate triphosphate synthase complex putative catalytic subunit,phosphonate metabolism,NC_000913.3:4318005-4321696,16131925,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3626] Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI,948605,NP_418523.1,354,ribophosphonate triphosphate synthase complex putative catalytic subunit,0.186103,0.114748,1.63037,1.83092,1.82553
phnJ,phnJ,carbon-phosphorus lyase%2C SAM-dependent,phosphonate metabolism,NC_000913.3:4318005-4321696,16131924,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3627] Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase,948606,NP_418522.1,281,"carbon-phosphorus lyase, SAM-dependent",0.409524,0.151402,1.59157,0.967051,2.32214
phnK,phnK,carbon-phosphorus lyase complex subunit%2C putative ATP transporter ATP-binding protein,ATP-binding component of phosphonate transport,NC_000913.3:4318005-4321696,49176459,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG4107] ABC-type phosphonate transport system, ATPase component",948611,YP_026282.1,252,"carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein",0.187693,0.693627,2.03855,1.24663,1.70487
phnL,phnL,ribophosphonate triphosphate synthase subunit%3B putative ABC transporter-related ATPase,ATP-binding component of phosphonate transport,NC_000913.3:4315103-4317895,16131922,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG4778] Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL,948612,NP_418520.1,226,ribophosphonate triphosphate synthase subunit; putative ABC transporter-related ATPase,3.34673,3.2899,3.20981,5.09934,6.13748
phnM,phnM,ribophosphonate triphosphate hydrolase,phosphonate metabolism,NC_000913.3:4315103-4317895,16131921,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3454] Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM,948613,NP_418519.1,378,ribophosphonate triphosphate hydrolase,0.517067,1.00974,1.18161,2.37389,1.81991
phnN,phnN,ribose 1%2C5-bisphosphokinase,ATP-binding component of phosphonate transport,NC_000913.3:4315103-4317895,16131920,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3709] Ribose 1,5-bisphosphokinase PhnN",948608,NP_418518.1,185,"ribose 1,5-bisphosphokinase",0.566066,1.04428,0.971451,1.46244,1.77583
phnO,phnO,aminoalkylphosphonate N-acetyltransferase,putative regulator%2C phn operon,NC_000913.3:4315103-4317895,16131919,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0456] Ribosomal protein S18 acetylase RimI and related acetyltransferases,948599,NP_418517.1,144,aminoalkylphosphonate N-acetyltransferase,3.69488,5.47943,3.52539,6.66873,4.24106
phnP,phnP,5-phospho-alpha-D-ribosyl 1%2C2-cyclic phosphate phosphodiesterase,phosphonate metabolism,NC_000913.3:4314343-4315102,16131918,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG1235] Phosphoribosyl 1,2-cyclic phosphodiesterase",948600,NP_418516.1,252,"5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",3.19079,2.94792,2.14584,4.29394,3.09008
phoA,phoA,bacterial alkaline phosphatase,alkaline phosphatase~start codon corrected,NC_000913.3:401746-403162,49176017,(METABOLISM) [P] Inorganic ion transport and metabolism; [R] General function prediction only,[COG1785] Alkaline phosphatase,945041,NP_414917.2,471,bacterial alkaline phosphatase,2.63532,2.52146,4.28615,5.20689,6.35904
phoB,phoB,response regulator in two-component regulatory system with PhoR,positive response regulator for pho regulon%2C sensor is PhoR (or CreC),NC_000913.3:417141-417831,16128384,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG0745] DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",945046,NP_414933.1,229,response regulator in two-component regulatory system with PhoR,10.1873,11.858,7.28071,10.4946,11.0983
phoE,phoE,outer membrane phosphoporin protein E,outer membrane pore protein E (E%2CIc%2CNmpAB),NC_000913.3:259044-260100,16128227,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3203] Outer membrane protein (porin),944926,NP_414776.1,351,outer membrane phosphoporin protein E,0.877226,2.08623,2.14801,0.647277,1.13479
phoH,phoH,ATP-binding protein%3B putative PhoH family P-loop ATPase,PhoB-dependent%2C ATP-binding pho regulon component%3B may be helicase%3B induced by P starvation,NC_000913.3:1084991-1086056,16128984,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,"[COG1702] Phosphate starvation-inducible protein PhoH, predicted ATPase",948010,NP_415539.1,354,ATP-binding protein; putative PhoH family P-loop ATPase,20.3472,24.843,21.1949,28.837,21.766
phoP,phoP,response regulator in two-component regulatory system with PhoQ,transcriptional regulatory protein,NC_000913.3:1188315-1190447,16129093,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG0745] DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",945697,NP_415648.1,223,response regulator in two-component regulatory system with PhoQ,161.172,132.694,96.9925,100.221,106.075
phoQ,phoQ,sensory histidine kinase in two-component regulatory system with PhoP,sensor protein PhoQ,NC_000913.3:1188315-1190447,16129092,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG2205] K+-sensing histidine kinase KdpD,946326,NP_415647.1,486,sensory histidine kinase in two-component regulatory system with PhoP,51.8287,52.8744,36.2034,26.7865,25.233
phoR,phoR,sensory histidine kinase in two-component regulatory system with PhoB,positive and negative sensor protein for pho regulon,NC_000913.3:417888-419184,16128385,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG5002] Signal transduction histidine kinase,945044,NP_414934.1,431,sensory histidine kinase in two-component regulatory system with PhoB,5.68034,5.34729,4.74019,4.51907,4.02024
phoU,phoU,negative regulator of PhoR/PhoB two-component regulator,negative regulator for pho regulon and putative enzyme in phosphate metabolism,NC_000913.3:3906852-3907578,16131592,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0704] Phosphate uptake regulator,948233,NP_418180.1,241,negative regulator of PhoR/PhoB two-component regulator,10.8281,11.6538,7.26933,19.5014,22.9094
php,php,phosphotriesterase homology protein,putative hydrolase,NC_000913.3:3507711-3510976,16131257,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG1735] Predicted metal-dependent hydrolase, phosphotriesterase family",947891,NP_417838.1,292,phosphotriesterase homology protein,2.26587,1.80562,2.58986,1.84501,2.83442
phr,phr,deoxyribodipyrimidine photolyase%2C FAD-binding,deoxyribodipyrimidine photolyase (photoreactivation),NC_000913.3:739000-740925,16128683,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG0415] Deoxyribodipyrimidine photolyase,947005,NP_415236.1,472,"deoxyribodipyrimidine photolyase, FAD-binding",7.35237,6.84532,8.45002,6.37801,5.84032
pinE,pinE,e14 prophage%3B site-specific DNA recombinase,inversion of adjacent DNA%3B at locus of e14 element,NC_000913.3:1209684-1210239,16129121,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG1961] Site-specific DNA recombinase related to the DNA invertase Pin,945721,NP_415676.1,184,e14 prophage; site-specific DNA recombinase,0.285195,0.0,2.28407,2.10517,2.76571
pinH,pinH,,pseudogene%2C invertase resolvase family,NC_000913.3:2783064-2783304,-,-,-,-,-,-,-,0.0,0.619227,4.68651,1.0063,0.811567
pinQ,pinQ,Qin prophage%3B putative site-specific recombinase,,NC_000913.3:1631001-1652708,16129504,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG1961] Site-specific DNA recombinase related to the DNA invertase Pin,946088,NP_416063.1,196,Qin prophage; putative site-specific recombinase,8.09867,9.88355,9.5631,2.89245,3.12592
pinR,pinR,Rac prophage%3B putative site-specific recombinase,,NC_000913.3:1433083-1433674,16129335,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG1961] Site-specific DNA recombinase related to the DNA invertase Pin,948973,NP_415892.1,196,Rac prophage; putative site-specific recombinase,11.2336,12.2942,9.26425,2.31396,1.78624
pitA,pitA,phosphate transporter%2C low-affinity%3B tellurite importer,low-affinity phosphate transport,NC_000913.3:3637641-3639141,16131365,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0306] Phosphate/sulfate permease,948009,NP_417950.1,499,"phosphate transporter, low-affinity; tellurite importer",34.5359,29.5225,29.0742,23.9669,22.5556
pitB,pitB,phosphate transporter,low-affinity phosphate transport,NC_000913.3:3134871-3136371,16130887,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0306] Phosphate/sulfate permease,947475,NP_417461.1,499,phosphate transporter,0.50234,0.387434,2.05623,1.60603,2.4116
pka,pka,protein lysine acetyltransferase,,NC_000913.3:2719952-2722613,16130509,"(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis; [O] Posttranslational modification, protein turnover, chaperones","[COG1670] Protein N-acetyltransferase, RimJ/RimL family",947056,NP_417079.1,886,protein lysine acetyltransferase,46.7493,49.1693,33.7821,47.3177,43.8881
plaP,plaP,putrescine importer%2C low affinity,putative amino acid/amine transport protein,NC_000913.3:2085703-2087114,90111370,(METABOLISM) [E] Amino acid transport and metabolism,[COG0531] Amino acid transporter,946533,NP_416518.2,452,"putrescine importer, low affinity",4.21146,4.54661,7.05644,12.2909,20.8361
pldA,pldA,outer membrane phospholipase A,,NC_000913.3:4004861-4005731,16131671,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG2829] Outer membrane phospholipase A,948307,NP_418265.1,289,outer membrane phospholipase A,19.4653,25.8187,13.2046,15.6486,14.3537
pldB,pldB,lysophospholipase L2,,NC_000913.3:4009169-4010192,49176423,(METABOLISM) [I] Lipid transport and metabolism,"[COG2267] Lysophospholipase, alpha-beta hydrolase superfamily",948314,YP_026266.1,340,lysophospholipase L2,30.709,33.0321,17.3232,15.6504,16.2791
pliG,pliG,periplasmic inhibitor of g-type lysozyme,,NC_000913.3:1227070-1227472,-,-,-,-,-,-,-,26.1433,22.3252,32.8815,13.7892,13.1632
plsB,plsB,glycerol-3-phosphate O-acyltransferase,glycerol-3-phosphate acyltransferase,NC_000913.3:4254042-4256466,90111678,(METABOLISM) [I] Lipid transport and metabolism,[COG2937] Glycerol-3-phosphate O-acyltransferase,948541,NP_418465.4,807,glycerol-3-phosphate O-acyltransferase,40.2835,46.2924,21.3762,29.1156,30.5453
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,,NC_000913.3:3162743-3163481,16130914,(METABOLISM) [I] Lipid transport and metabolism,[COG0204] 1-acyl-sn-glycerol-3-phosphate acyltransferase,947496,NP_417490.1,245,1-acyl-sn-glycerol-3-phosphate acyltransferase,18.1895,18.1509,11.5661,13.0648,11.9317
plsX,plsX,putative phosphate acyltransferase,glycerolphosphate auxotrophy in plsB background,NC_000913.3:1147620-1148691,90111212,(METABOLISM) [I] Lipid transport and metabolism,[COG0416] Fatty acid/phospholipid biosynthesis enzyme,946165,NP_415608.2,356,putative phosphate acyltransferase,32.2297,31.9178,22.5335,25.8273,22.5978
plsY,plsY,putative glycerol-3-phosphate acyltransferase,,NC_000913.3:3204693-3205311,16130955,(METABOLISM) [I] Lipid transport and metabolism,"[COG0344] Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase",947561,NP_417531.1,205,putative glycerol-3-phosphate acyltransferase,17.0809,24.7254,14.7582,14.5119,12.0337
pmbA,pmbA,putative antibiotic peptide MccB17 maturation peptidase,maturation of antibiotic MccB17%2C see tld genes,NC_000913.3:4457958-4459311,16132057,(POORLY CHARACTERIZED) [R] General function prediction only,[COG0312] Predicted Zn-dependent protease or its inactivated homolog,948750,NP_418656.1,450,putative antibiotic peptide MccB17 maturation peptidase,36.8713,36.4254,36.8033,60.4458,63.8878
pmrD,pmrD,inactive two-component system connector protein,an active Salmonella PmrD ortholog blocks dephosphorylation of PmrA(BasR) by PmrB(BasS),NC_000913.3:2367070-2373538,-,-,-,-,-,-,-,53.7314,58.5065,36.4747,30.0444,21.5071
pmrR,pmrR,putative membrane-bound BasS regulator,,NC_000913.3:4332115-4333272,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
pncA,pncA,nicotinamidase/pyrazinamidase,,NC_000913.3:1851886-1852528,90111327,(METABOLISM) [H] Coenzyme transport and metabolism; [R] General function prediction only,[COG1335] Nicotinamidase-related amidase,946276,NP_416282.4,213,nicotinamidase/pyrazinamidase,19.3782,17.3505,11.0813,19.8165,15.6757
pncB,pncB,nicotinate phosphoribosyltransferase,,NC_000913.3:989153-990356,16128898,(METABOLISM) [H] Coenzyme transport and metabolism,[COG1488] Nicotinic acid phosphoribosyltransferase,946648,NP_415451.1,400,nicotinate phosphoribosyltransferase,63.0095,78.4534,57.9123,40.0193,40.2846
pncC,pncC,nicotinamide-nucleotide amidohydrolase%3B NMN amidohydrolase,,NC_000913.3:2823848-2824346,16130607,(METABOLISM) [H] Coenzyme transport and metabolism,[COG1546] Nicotinamide mononucleotide (NMN) deamidase PncC,947169,NP_417180.1,165,nicotinamide-nucleotide amidohydrolase; NMN amidohydrolase,22.1844,26.2872,7.06318,8.61958,11.6358
pnp,pnp,polynucleotide phosphorylase/polyadenylase,polynucleotide phosphorylase%3B cytidylate kinase activity,NC_000913.3:3309032-3311168,145698316,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG1185] Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase),947672,NP_417633.4,711,polynucleotide phosphorylase/polyadenylase,134.57,127.598,146.268,279.477,279.319
pntA,pntA,pyridine nucleotide transhydrogenase%2C alpha subunit,,NC_000913.3:1676370-1677903,16129561,(METABOLISM) [C] Energy production and conversion,[COG3288] NAD/NADP transhydrogenase alpha subunit,946628,NP_416120.1,510,"pyridine nucleotide transhydrogenase, alpha subunit",110.796,104.701,137.109,157.58,156.426
pntB,pntB,pyridine nucleotide transhydrogenase%2C beta subunit,,NC_000913.3:1674971-1676360,16129560,(METABOLISM) [C] Energy production and conversion,[COG1282] NAD/NADP transhydrogenase beta subunit,946144,NP_416119.1,462,"pyridine nucleotide transhydrogenase, beta subunit",117.456,98.9349,143.046,174.533,173.53
pnuC,pnuC,nicotinamide riboside transporter,required for NMN transport,NC_000913.3:783165-784823,16128719,(METABOLISM) [H] Coenzyme transport and metabolism,[COG3201] Nicotinamide riboside transporter PnuC,945350,NP_415272.1,239,nicotinamide riboside transporter,15.4631,14.6539,19.4024,14.6723,13.3474
